Question Number,Difficulty Level,Topic HI,Question HI,Option A HI,Option B HI,Option C HI,Correct Answer,Correct Answer Commentary HI,Incorrect Answer Commentary HI,Hint HI
19,Easy,क्रेडिट के अलावा फैक्टर,लेंडर के लिए नौकरी का पक्का (stable) होना क्यों ज़रूरी है?,उन्हें आपकी नौकरी पसंद है,यह दिखाता है कि आपके पास पेमेंट करने के लिए लगातार इनकम आ रही है,यह ज़रूरी नहीं है,B,बिल्कुल! पक्की नौकरी का मतलब है भरोसेमंद इनकम। लेंडर को भरोसा हो जाता है कि आप हर महीने की किस्तें चुका सकते हैं।,पक्की नौकरी का मतलब है कि आपकी पगार टाइम पर आती है। लेंडर के लिए यह जानना बहुत ज़रूरी है कि क्या आप सच में लोन चुका पाएँगे।,पक्की नौकरी का मतलब है लोन चुकाने की पक्की गारंटी।
20,Medium,क्रेडिट के अलावा फैक्टर,होम लोन में 'लोन-टू-वैल्यू' (LTV) रेशियो क्या होता है?,लोन की कीमत,लोन की रक़म और प्रॉपर्टी की क़ीमत का अनुपात,आपकी उम्र,B,परफेक्ट! LTV लेंडर को दिखाता है कि प्रॉपर्टी में आपका खुद का कितना पैसा लगा है। LTV जितना कम होगा लेंडर का रिस्क भी उतना ही कम होगा।,LTV यह तुलना करता है कि आप कितना उधार ले रहे हैं और उस प्रॉपर्टी की असली कीमत कितनी है। यह रेशियो जितना कम होता है मतलब आपका खुद का पैसा (इक्विटी) उतना ज़्यादा लगा है।,यह दिखाता है कि लेंडर कितना रिस्क ले रहा है।
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
