Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,Topic,Subtopic
पैसिव इनकम क्या है?,बैंकों से उधार लिया गया पैसा,उपहार के रूप में दिया गया पैसा,न्यूनतम मेहनत से कमाया गया पैसा जैसे ब्याज। लाभांश या किराया,नौकरी से कमाया गया पैसा,C,Medium,How to Grow Your Money,Income Sources
पैसिव इनकम कमाने के आम तरीके क्या हैं?,व्यक्तिगत सामान बेचना,पैसा उधार लेना और उसे उधार देना,बचत खाते। फिक्स्ड डिपॉजिट। निवेश से लाभांश और किराये की आय,अपनी नौकरी में ओवरटाइम करना,C,Medium,How to Grow Your Money,Income Sources
आर्थिक मंदी के दौरान क्या होता है?,बाज़ार हमेशा सुधर जाता है,आपकी नौकरी या बचत को कुछ नहीं होता,ऐसा समय जब अर्थव्यवस्था कमज़ोर होती है - नौकरी मिलना मुश्किल होता है और निवेश में नुकसान हो सकता है,सभी अमीर हो जाते हैं,C,Medium,How to Grow Your Money,Money Mindset
स्मार्ट मनी हैबिट्स क्या हैं?,जब भी संभव हो उधार लें,नियमित रूप से बचाएं। फालतू कर्ज से बचें। खर्चों पर नज़र रखें और भविष्य के लिए निवेश करें,अपना सारा पैसा तुरंत खर्च करें,कभी अपना बैंक बैलेंस न देखें,B,Hard,How to Grow Your Money,Money Mindset
समय के साथ आप अपनी आमदनी कैसे बढ़ा सकते हैं?,निवेश के लिए पैसा उधार लें,बिना वेतन वृद्धि मांगे हमेशा एक ही नौकरी करें,ज़्यादा खर्च करें ताकि ज़्यादा कमाएं,नए कौशल विकसित करें। उच्च शिक्षा प्राप्त करें। वेतन वृद्धि मांगें या साइड बिज़नेस शुरू करें,D,Hard,How to Grow Your Money,Income Sources
बिज़नेस लाइसेंस क्या है?,केवल मैन्युफैक्चरिंग बिज़नेस के लिए,एक नकली दस्तावेज़,सरकार से आपके बिज़नेस को चलाने की आधिकारिक अनुमति,छोटे बिज़नेस के लिए ज़रूरी नहीं,C,Easy,Small Business Fundamentals,Basic Business Resources
बिज़नेस रजिस्ट्रेशन क्या है?,आपके बिज़नेस को आधिकारिक रूप से स्थापित करने की कानूनी प्रक्रिया,अपने परिवार को अपने बिज़नेस के बारे में बताना,एक घोटाला जिससे आपको बचना चाहिए,वैकल्पिक और कभी ज़रूरी नहीं,A,Easy,Small Business Fundamentals,Basic Business Resources
बिज़नेस पार्टनर होना क्यों महत्वपूर्ण है?,पार्टनर कभी मददगार नहीं होते,केवल बड़ी कंपनियों के लिए,यह हमेशा कानून द्वारा आवश्यक है,काम का बोझ बांटने और विभिन्न कौशल लाने के लिए कोई,D,Easy,Small Business Fundamentals,Finding Business Partners
छोटे बिज़नेस के लिए शुरुआती आइडिया कहाँ से मिल सकते हैं?,आप खुद आइडिया नहीं बना सकते,केवल मौजूदा बिज़नेस से,आइडिया सिर्फ किस्मत से आते हैं,अपने रोज़मर्रा के जीवन में दिखने वाली समस्याओं को पहचानकर,D,Easy,Small Business Fundamentals,Finding Business Ideas
बिज़नेस शुरू करने से पहले पहला अच्छा कदम क्या है?,योजना को छोड़ें और बस शुरू करें,परीक्षण से पहले अपने आइडिया के बारे में सभी को बताएं,तुरंत अपनी सारी बचत खर्च करें,रिसर्च करें कि क्या लोगों को सच में आपके उत्पाद या सेवा की ज़रूरत है,D,Easy,Small Business Fundamentals,Finding Business Ideas
बिज़नेस पार्टनर चुनते समय आपको क्या देखना चाहिए?,केवल उनकी दिखावट,उनके पास कितना पैसा है,साझा मूल्य। पूरक कौशल और भरोसेमंदता,कुछ भी मायने नहीं रखता - बस किसी को भी चुन लें,C,Medium,Small Business Fundamentals,Finding Business Partners
आपके बिज़नेस के लिए अकाउंटेंट की ज़रूरत क्यों है?,अकाउंटेंट केवल बड़े निगमों के लिए हैं,उनकी बिल्कुल भी ज़रूरत नहीं है,आय और खर्च ट्रैक करने और टैक्स अनुपालन सुनिश्चित करने के लिए,आप अकाउंटेंट के बिना कभी पैसे नहीं संभाल सकते,C,Medium,Small Business Fundamentals,Basic Business Resources
माइक्रोफाइनेंस से छोटे बिज़नेस का लोन क्या होता है?,दोस्तों से उधार लिया गया पैसा,ज़मीन या संपत्ति जैसी महंगी गारंटी के बिना बिज़नेस के लिए बैंक से लोन,एक प्रकार का क्रेडिट कार्ड,पैसा जो आप चुराते हैं,B,Medium,Small Business Fundamentals,Initial Funding Sources
ज़्यादातर छोटे बिज़नेस शुरू करने के लिए आपको किन बुनियादी संसाधनों की ज़रूरत है?,कुछ नहीं - कोई संसाधन ज़रूरी नहीं,केवल एक सपना,एक अकाउंटेंट। उचित बिज़नेस रजिस्ट्रेशन और बुनियादी लाइसेंस,सोना और महंगा उपकरण,C,Medium,Small Business Fundamentals,Basic Business Resources
छोटे बिज़नेस के लिए शुरुआती फंडिंग कहाँ से मिल सकती है?,केवल बैंकों से,आपके पास वेंचर कैपिटल होना चाहिए,फंडिंग मिलना असंभव है,व्यक्तिगत बचत। परिवार से लोन या माइक्रोफाइनेंस संस्थान - PMMY स्व-रोज़गार करने वालों के लिए महत्वपूर्ण है,D,Medium,Small Business Fundamentals,Initial Funding Sources
साइड बिज़नेस क्या है?,स्वयंसेवी काम,एक शौक जिसमें पैसा खर्च होता है,अतिरिक्त आय कमाने के लिए अपनी मुख्य नौकरी के अलावा किया गया बिज़नेस या काम,दूसरी पूर्णकालिक नौकरी,C,Easy,Starting a Small Business,Business Planning
स्टार्टअप कैपिटल क्या है?,बिक्री से मिला मुनाफा,बिज़नेस शुरू करने के लिए ज़रूरी शुरुआती पैसा,आपके बिज़नेस से कमाया गया पैसा,निवेश से मिला ब्याज,B,Easy,Starting a Small Business,Funding Basics
मार्केट रिसर्च क्या है?,टीवी देखना या समाचार पढ़ना,अपने उत्पाद की मांग समझने के लिए संभावित ग्राहकों और प्रतिस्पर्धियों का अध्ययन करना,आपके उत्पाद की गुणवत्ता का परीक्षण,अपने प्रतिस्पर्धियों की कीमतों के बारे में सीखना,B,Medium,Starting a Small Business,Business Planning
बिज़नेस में कैश फ्लो क्या है?,आपके बिज़नेस में पैसे का आना-जाना,आपके बिज़नेस के पास कुल पैसा,आपका बिज़नेस जो मुनाफा कमाता है,वेतन पर खर्च किया गया पैसा,A,Medium,Starting a Small Business,Financial Metrics
बिज़नेस प्लान क्या है?,आपके बिज़नेस आइडिया। बाज़ार विश्लेषण। संचालन और वित्तीय अनुमानों की रूपरेखा देने वाला दस्तावेज़,आपके बिज़नेस के बारे में एक कहानी,आपके बिज़नेस के लिए खरीदने वाली चीज़ों की सूची,आपके ग्राहकों के साथ एक अनुबंध,A,Medium,Starting a Small Business,Business Planning
बिज़नेस शुरू करने के लिए आप फंडिंग कहाँ से प्राप्त कर सकते हैं?,केवल अमीर दोस्तों से,केवल बैंकों से,केवल अपने माता-पिता से,व्यक्तिगत बचत। बैंक लोन। निवेशक और सरकारी योजनाएं,D,Medium,Starting a Small Business,Funding Basics
प्रॉफिट और रेवेन्यू में क्या अंतर है?,प्रॉफिट कमाया गया पैसा है। रेवेन्यू खोया हुआ पैसा है,वे एक ही चीज़ हैं,रेवेन्यू कुल कमाया गया पैसा है। प्रॉफिट रेवेन्यू माइनस खर्चे है,रेवेन्यू प्रॉफिट माइनस खर्चे है,C,Hard,Starting a Small Business,Financial Metrics
छोटे बिज़नेस में प्राइसिंग क्यों महत्वपूर्ण है?,कम कीमतें हमेशा ज़्यादा बिक्री का मतलब होती हैं,ऊंची कीमतें हमेशा बेहतर गुणवत्ता का मतलब होती हैं,प्राइसिंग ज़्यादा मायने नहीं रखती,उचित प्राइसिंग मुनाफे। प्रतिस्पर्धात्मकता और ग्राहक संतुष्टि को सुनिश्चित करती है,D,Hard,Starting a Small Business,Business Planning
छोटा बिज़नेस शुरू करने के बुनियादी कदम क्या हैं?,बिना योजना के बस शुरू करें,अपने आइडिया की पहचान करें। बाज़ार की रिसर्च करें। योजना बनाएं। फंडिंग सुरक्षित करें और लॉन्च करें,अपने दोस्त जो कर रहा है उसकी नकल करें,पहले बहुत सारा पैसा उधार लें,B,Hard,Starting a Small Business,Business Planning
अगर आप निवेश शुरू करना चाहते हैं तो पहला अच्छा कदम क्या है?,कभी निवेश न करें - पैसे अपने गद्दे में रखें,तब तक इंतज़ार करें जब तक आपके पास 10 लाख न हों,अपना सारा पैसा तुरंत शेयरों में लगा दें,बुनियादी बातें सीखें और छोटी राशि से शुरू करें,D,Easy,Where to Invest Your Money,Getting Started with Investing
निवेश शुरू करने के लिए आपको कितने पैसों की ज़रूरत है?,शुरू करने के लिए कम से कम 1 लाख चाहिए,पहले आपको करोड़पति बनना होगा,आप म्यूचुअल फंड या FD के माध्यम से सिर्फ कुछ सौ रुपये से शुरुआत कर सकते हैं,आपको कम से कम 10 लाख चाहिए,C,Easy,Where to Invest Your Money,Getting Started with Investing
भारत में निवेश शुरू करने और सीखने के लिए आप किन प्लेटफॉर्म का उपयोग कर सकते हैं?,केवल फिजिकल स्टॉक ब्रोकर के माध्यम से,आप भारत में ऑनलाइन निवेश नहीं कर सकते,केवल बैंकों के पास निवेश विकल्प हैं,Groww Angel One और Zerodha जैसे ऐप यूज़र-फ्रेंडली प्लेटफॉर्म प्रदान करते हैं - व्यस्त अनौपचारिक कामगारों के लिए बिल्कुल सही,D,Easy,Where to Invest Your Money,Investment Platforms
भारत में शुरुआती लोगों के लिए अच्छे निवेश विकल्प क्या हैं?,जुआ और सट्टेबाजी,म्यूचुअल फंड और फिक्स्ड डिपॉजिट (FD),केवल महंगी रियल एस्टेट,सारा पैसा नकद रखना,B,Medium,Where to Invest Your Money,Types of Investments
छोटी राशि के साथ भारत में शुरुआती लोगों के लिए अच्छे निवेश विकल्प क्या हैं?,शेयर बाज़ार में केवल महंगे शेयर,निवेश केवल अमीर लोगों के लिए है,निवेश शुरू करने के लिए 10 लाख चाहिए,म्यूचुअल फंड। FD और PPF जैसी सरकारी योजनाएं जो छोटे निवेश से शुरू होती हैं,D,Hard,Where to Invest Your Money,Types of Investments
फिक्स्ड डिपॉजिट (FD) चुनते समय आपको क्या देखना चाहिए?,उनकी कितनी शाखाएं हैं,बैंक की इमारत का रंग,बैंक मैनेजर की उम्र,दी गई ब्याज दर और क्या बैंक RBI-विनियमित है,D,Hard,Where to Invest Your Money,Practical Investment Tips
भारत में सुरक्षित निवेश के बारे में मुफ्त जानकारी आप कहाँ से प्राप्त कर सकते हैं?,केवल भुगतान किए गए वित्तीय सलाहकारों से,आपको इसे खुद ही समझना होगा,आपका बैंक सुरक्षित निवेश पर मुफ्त गाइड और संसाधन प्रदान कर सकता है,कोई मुफ्त संसाधन उपलब्ध नहीं हैं,C,Hard,Where to Invest Your Money,Resources & Learning
