Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,Topic,Subtopic
सिक्योर्ड लोन क्या है?,एक लोन जिसे चुकाने की ज़रूरत नहीं,घर या कार जैसी कोलैटरल द्वारा समर्थित लोन,बिना ब्याज वाला लोन,एक लोन जो स्वीकृत होने की गारंटी है,B,Hard,Basics of Loans,Types of Loans
अगर लेंडर दिवालिया हो जाता है तो आपके लोन का क्या होता है?,आपका लोन माफ हो जाता है,लोन दूसरी संस्था को ट्रांसफर हो जाता है,लोन तुरंत रद्द हो जाता है,आपका अब कुछ भी बकाया नहीं,B,Hard,Basics of Loans,Repayment Obligations
आपके क्रेडिट पर हार्ड इंक्वायरी क्या है?,जब आप खुद अपना क्रेडिट स्कोर चेक करते हैं,आपकी क्रेडिट फ़ाइल पर विवाद,आपकी रिपोर्ट पर एक नकारात्मक चिह्न,जब लोन आवेदन के लिए लेंडर आपकी क्रेडिट रिपोर्ट देखता है,D,Medium,Credit Scores,Building Credit
आपके क्रेडिट स्कोर को प्रभावित करने वाला मुख्य कारक क्या है?,आपकी शैक्षिक योग्यता,आपका भुगतान इतिहास,आपका पसंदीदा रंग,आपकी ऊंचाई और वजन,B,Medium,Credit Scores,Building Credit
नकारात्मक जानकारी आपकी क्रेडिट रिपोर्ट पर कितने समय तक रहती है?,3 साल,आमतौर पर 5-7 साल,स्थायी रूप से,1 साल,B,Medium,Credit Scores,Building Credit
आप अपने क्रेडिट स्कोर को कैसे सुधार सकते हैं?,और पैसे उधार लें,अपना नाम या पता बदलें,अपने बिलों का समय पर भुगतान करें। कर्ज कम करें और कम क्रेडिट उपयोग बनाए रखें,क्रेडिट कार्ड पर अधिक पैसा खर्च करें,C,Hard,Credit Scores,Building Credit
आपकी आय लोन स्वीकृति को कैसे प्रभावित करती है?,केवल अमीर लोगों को स्वीकृति मिलती है,लोन के लिए आय मायने नहीं रखती,लेंडर कभी आय की जांच नहीं करते,लेंडर आपकी आय और स्थिरता की जांच करते हैं यह जानने के लिए कि आप चुका सकते हैं या नहीं,D,Easy,Factors Other Than Credit,Practical Approval Factors
अगर आप लोन भुगतान नहीं कर सकते तो क्या करना चाहिए?,इसे अनदेखा करें और उम्मीद करें कि यह दूर हो जाएगा,विकल्पों पर चर्चा करने के लिए तुरंत अपने लेंडर से संपर्क करें,तुरंत दिवालियापन के लिए फाइल करें,अनौपचारिक स्रोतों से पैसे उधार लें,B,Easy,Factors Other Than Credit,Improvement Strategies
अगर आपका लोन आवेदन अस्वीकार हो जाता है तो आपको क्या करना चाहिए?,एक साथ कई बैंकों में आवेदन करें,फीडबैक मांगें। अपने क्रेडिट को सुधारने पर काम करें और बाद में फिर से आवेदन करें,अनौपचारिक स्रोतों से पैसे उधार लें,हार मान लें और कोशिश करना बंद कर दें,B,Easy,Factors Other Than Credit,Improvement Strategies
लोन स्वीकृति पर स्थिर नौकरी का क्या प्रभाव होता है?,यह आपकी स्वीकृति की संभावना कम करता है,इसका लोन स्वीकृति पर कोई प्रभाव नहीं पड़ता,यह केवल तभी मायने रखता है जब आपके पास क्रेडिट कार्ड हो,यह आपकी लोन स्वीकृति की संभावना बढ़ाता है क्योंकि यह आय स्थिरता दिखाता है,D,Easy,Factors Other Than Credit,Personal Circumstances
क्रेडिट स्कोर के अलावा कौन से अन्य कारक लोन स्वीकृति को प्रभावित कर सकते हैं?,आपके सोशल मीडिया फॉलोअर्स,रोजगार स्थिरता। आय स्तर और मौजूदा कर्ज,आपका पसंदीदा भोजन,आपके पालतू जानवर का नाम,B,Medium,Factors Other Than Credit,Personal Circumstances
लोन स्वीकृति के लिए बैंक खाता इतिहास क्यों महत्वपूर्ण है?,यह आपकी उम्र और पहचान निर्धारित करता है,यह आपका वित्तीय व्यवहार। स्थिरता और पैसे प्रबंधित करने की क्षमता दिखाता है - गिग वर्कर्स और दिहाड़ी मजदूरों के लिए महत्वपूर्ण,यह साबित करता है कि आपके पास घर है,यह दिखाता है कि आपके कितने दोस्त हैं,B,Medium,Factors Other Than Credit,Financial Situation
लोन स्वीकृति में बचत इतिहास की क्या भूमिका है?,इसका लोन स्वीकृति से कोई संबंध नहीं है,यह केवल तभी मायने रखता है जब आपने कभी उधार नहीं लिया हो,यह वित्तीय अनुशासन और पैसे प्रबंधित करने की क्षमता प्रदर्शित करता है,यह लोन ब्याज दर बढ़ाता है,C,Medium,Factors Other Than Credit,Financial Situation
अगर आप समय पर लोन नहीं चुका सकते तो क्या करना चाहिए?,पूरी तरह से भुगतान करना छोड़ दें,अपने लेंडर से छुपें,समस्या को अनदेखा करें - यह चली जाएगी,विकल्पों या पुनर्गठन पर चर्चा करने के लिए तुरंत अपने लेंडर से संपर्क करें - कई लेंडर अनौपचारिक कामगारों के साथ काम करते हैं,D,Medium,Factors Other Than Credit,Practical Repayment Tips
आपकी उम्र लोन पात्रता को कैसे प्रभावित करती है?,युवा लोगों को हमेशा बेहतर लोन शर्तें मिलती हैं,उम्र बिल्कुल मायने नहीं रखती,बड़े लोग लोन नहीं ले सकते,आपको कानूनी उम्र का होना चाहिए और सेवानिवृत्ति से पहले चुकाने के लिए पर्याप्त वर्ष होने चाहिए,D,Medium,Factors Other Than Credit,Personal Circumstances
आपका मौजूदा कर्ज नए लोन की स्वीकृति को कैसे प्रभावित करता है?,मौजूदा कर्ज का कोई प्रभाव नहीं है,उच्च मौजूदा कर्ज नए लोन के लिए स्वीकृत होना कठिन बनाता है,केवल हाल का कर्ज मायने रखता है,मौजूदा कर्ज आपको तेजी से स्वीकृत होने में मदद करता है,B,Medium,Factors Other Than Credit,Financial Situation
अगर आप अपना लोन चुकाने में संघर्ष कर रहे हैं तो क्या करना चाहिए?,हार मान लें और गायब हो जाएं,मदद मांगने या भुगतान ब्रेक के लिए तुरंत अपने लेंडर से संपर्क करें,अनौपचारिक लेंडरों से और पैसे उधार लें,इसे अनदेखा करें और उम्मीद करें कि यह दूर हो जाएगा,B,Medium,Factors Other Than Credit,Personal Circumstances
आप उन कारकों के प्रभाव को कैसे कम कर सकते हैं जो लोन स्वीकृति को नकारात्मक रूप से प्रभावित करते हैं?,और पैसे उधार लें,अपना क्रेडिट बनाएं। बिलों का समय पर भुगतान करें। पैसे बचाएं और मौजूदा कर्ज कम करें - स्व-रोजगार और दिहाड़ी मजदूरों के लिए सिद्ध रणनीति,अपनी वित्तीय समस्याओं को अनदेखा करें,बार-बार बैंक बदलें,B,Hard,Factors Other Than Credit,Improvement Strategies
डाउन पेमेंट क्या है और यह क्यों महत्वपूर्ण है?,मासिक बीमा भुगतान,लोन स्वीकृत होने के बाद किया गया भुगतान,एक अग्रिम भुगतान जो लोन राशि को कम करता है और प्रतिबद्धता दिखाता है,लेंडर द्वारा लिया गया शुल्क,C,Hard,Factors Other Than Credit,Financial Situation
लोन आवेदन का मूल्यांकन करते समय लेंडर मुख्य रूप से क्या देखते हैं?,आपकी राजनीतिक मान्यताएं,आपका क्रेडिट स्कोर और भुगतान इतिहास,आपका पसंदीदा शौक,आपके परिवार का आकार,B,Easy,What Lenders Look For,Application Requirements
लेंडर रोजगार इतिहास की जांच क्यों करते हैं?,नौकरी की स्थिरता और निरंतर आय सत्यापित करने के लिए,आपके शौक का पता लगाने के लिए,आपकी शिक्षा स्तर की जांच करने के लिए,आपकी उम्र सत्यापित करने के लिए,A,Easy,What Lenders Look For,Application Requirements
लोन विकल्पों को समझने और EMI की गणना करने के लिए एक अच्छा टूल क्या है?,लोन कैलकुलेटर (बैंकों। फिनटेक ऐप्स या आपके वित्तीय ऐप से) वास्तविक लागत दिखाता है,बैंक कभी लोन को स्पष्ट रूप से नहीं समझाते,आपको अनुमान लगाना होगा कि आपको हर महीने कितना देना है,आपकी मदद के लिए कोई टूल नहीं हैं,A,Easy,What Lenders Look For,Tools & Resources
लोन आवेदन के लिए आपको किन दस्तावेजों की आवश्यकता हो सकती है?,केवल अमीर लोगों को दस्तावेज़ प्रदान करने की आवश्यकता है,आप बिना कुछ साबित किए उधार ले सकते हैं,कभी किसी दस्तावेज़ की आवश्यकता नहीं होती,पहचान प्रमाण। आय दस्तावेज़ (वेतन पर्ची या आईटी रिटर्न) और पता प्रमाण,D,Easy,What Lenders Look For,Application Requirements
आमतौर पर उपयोग की जाने वाली कोलैटरल के प्रकार क्या हैं?,केवल रियल एस्टेट,आभूषण और व्यक्तिगत सामान,रियल एस्टेट। वाहन। बचत खाते,केवल नकद और सोना,C,Easy,What Lenders Look For,Application Requirements
कोलैटरल क्या है?,एक प्रकार की ब्याज दर,एक मासिक भुगतान,एक बैंक शुल्क,लोन के लिए सुरक्षा के रूप में गिरवी रखी गई संपत्ति,D,Medium,What Lenders Look For,Application Requirements
उधारकर्ताओं की सुरक्षा में आरबीआई की क्या भूमिका है?,भारत में उधारकर्ताओं के लिए कोई सुरक्षा नहीं है,आरबीआई उधारकर्ताओं की परवाह नहीं करता,आरबीआई निष्पक्ष प्रथाओं और उपभोक्ता संरक्षण सुनिश्चित करने के लिए बैंकों और लेंडरों को नियंत्रित करता है,केवल प्राइवेट बैंक उधारकर्ताओं की रक्षा करते हैं,C,Medium,What Lenders Look For,Regulatory Framework
आय सत्यापन क्या है?,लेंडर को प्रस्तुत आपकी कमाई क्षमता का प्रमाण,आपकी बचत खाता शेष राशि,आपका रोजगार अनुबंध,पिछले साल की कर रसीद,A,Medium,What Lenders Look For,Application Requirements
लोन प्री-अप्रूवल क्या है?,आपके लोन आवेदन की अंतिम स्वीकृति,आपके लोन ब्याज पर छूट,एक गारंटी कि आपको लोन मिल जाएगा,एक अस्थायी स्वीकृति जो दर्शाती है कि आप एक निश्चित लोन राशि के लिए योग्य हैं,D,Medium,What Lenders Look For,Application Requirements
कौन सा सरकारी कार्यक्रम आपको छोटे व्यवसाय लोन प्राप्त करने में मदद कर सकता है?,केवल बड़ी कंपनियां सरकारी लोन प्राप्त कर सकती हैं,सरकारी लोन तक पहुंच असंभव है,PMMY (प्रधानमंत्री मुद्रा योजना) छोटे व्यवसायों और स्व-रोजगार करने वालों के लिए 10 लाख तक के लोन प्रदान करती है,कोई सरकारी लोन योजना नहीं है,C,Medium,What Lenders Look For,Government Resources
डेट-टू-इनकम रेशियो का क्या मतलब है?,आपका कुल कर्ज,आपकी मासिक आय का प्रतिशत जो कर्ज भुगतान में जाता है,आपके कर्जों पर ब्याज दर,आपके पास लोन की संख्या,B,Hard,What Lenders Look For,Application Requirements
बिज़नेस लोन में पर्सनल गारंटी क्या है?,व्यवसाय स्वामित्व साबित करने वाला कानूनी दस्तावेज़,एक प्रकार का व्यवसाय बीमा,एक गारंटी कि व्यवसाय सफल होगा,यदि व्यवसाय नहीं कर सकता तो लोन चुकाने के लिए मालिक की व्यक्तिगत प्रतिबद्धता,D,Hard,What Lenders Look For,Application Requirements
लोन पर को-साइनर क्या होता है?,एक व्यक्ति जो ब्याज की गणना करता है,एक व्यक्ति जो लोन को स्वीकृत करता है,एक व्यक्ति जो लोन समझौते का गवाह है,एक व्यक्ति जो सहमत होता है कि यदि उधारकर्ता नहीं कर सकता तो लोन चुकाएगा,D,Hard,What Lenders Look For,Application Requirements
