Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,Topic,Subtopic
What role does savings history play in loan approval?,It has no relevance to loan approval,It only matters if you have never borrowed before,It demonstrates financial discipline and ability to manage money,It increases the loan interest rate,C,Medium,Factors Other Than Credit,Financial Situation
What should you do if you cannot repay a loan on time?,Give up paying completely,Hide from your lender,Ignore the problem - it will go away,Contact your lender immediately to discuss options or restructuring - many lenders work with informal workers,D,Medium,Factors Other Than Credit,Practical Repayment Tips
How does your age affect loan eligibility?,Younger people always get better loan terms,Age doesn't matter at all,Older people cannot get loans,You must be of legal age and have sufficient years to repay before retirement,D,Medium,Factors Other Than Credit,Personal Circumstances
How does your existing debt affect new loan approval?,Existing debt has no impact,High existing debt makes it harder to get approved for new loans,Only recent debt matters,Existing debt helps you get approved faster,B,Medium,Factors Other Than Credit,Financial Situation
What should you do if you're struggling to pay your loan?,Give up and disappear,Contact your lender immediately to ask for help or a payment break,Borrow more money from informal lenders,Ignore it and hope it goes away,B,Medium,Factors Other Than Credit,Personal Circumstances
How can you reduce the impact of factors that negatively affect loan approval?,Borrow more money,"Build your credit, pay bills on time, save money, and reduce existing debt - proven strategy for self-employed and daily wage workers",Ignore your financial problems,Change banks frequently,B,Hard,Factors Other Than Credit,Improvement Strategies
What is a down payment and why is it important?,A monthly insurance payment,A payment made after the loan is approved,An upfront payment that reduces the loan amount and shows commitment,A fee charged by the lender,C,Hard,Factors Other Than Credit,Financial Situation
What do lenders primarily look for when evaluating a loan application?,Your political beliefs,Your credit score and payment history,Your favorite hobby,Your family size,B,Easy,What Lenders Look For,Application Requirements
Why do lenders check employment history?,To verify job stability and consistent income,To find out your hobbies,To check your education level,To verify your age,A,Easy,What Lenders Look For,Application Requirements
What is a good tool to understand loan options and calculate EMI?,"A loan calculator (from banks, fintech apps, or your financial app) shows real costs",Banks never explain loans clearly,You must guess how much you owe each month,There are no tools to help you,A,Easy,What Lenders Look For,Tools & Resources
What documents might you need for a loan application?,Only wealthy people need to provide documents,You can borrow without proving anything,No documents are ever needed,"ID proof, income documents (salary slip or IT returns), and address proof",D,Easy,What Lenders Look For,Application Requirements
What are the types of collateral commonly used?,Only real estate,Jewelry and personal items,"Real estate, vehicles, savings accounts",Only cash and gold,C,Easy,What Lenders Look For,Application Requirements
What is collateral?,A type of interest rate,A monthly payment,A bank fee,An asset pledged as security for a loan,D,Medium,What Lenders Look For,Application Requirements
What is RBI's role in protecting borrowers?,There is no protection for borrowers in India,RBI does not care about borrowers,RBI regulates banks and lenders to ensure fair practices and consumer protection,Only private banks protect borrowers,C,Medium,What Lenders Look For,Regulatory Framework
What is income verification?,Proof of your earning capacity submitted to the lender,Your savings account balance,Your employment contract,A tax receipt from last year,A,Medium,What Lenders Look For,Application Requirements
What is a loan pre-approval?,Final approval of your loan application,A discount on your loan interest rate,A guarantee that you will get the loan,A tentative approval indicating you qualify for a certain loan amount,D,Medium,What Lenders Look For,Application Requirements
What government program can help you get a small business loan?,Only large companies can get government loans,Government loans are impossible to access,PMMY (Pradhan Mantri Mudra Yojana) offers loans up to 10 lakhs for small businesses and self-employed workers,There are no government loan schemes,C,Medium,What Lenders Look For,Government Resources
What does debt-to-income ratio mean?,The total amount of debt you have,The percentage of your monthly income that goes toward debt payments,The interest rate on your debts,The number of loans you have,B,Hard,What Lenders Look For,Application Requirements
What is a personal guarantee in a business loan?,A legal document proving business ownership,A type of business insurance,A guarantee that the business will succeed,Owner's personal commitment to repay the loan if the business cannot,D,Hard,What Lenders Look For,Application Requirements
What is a co-signer on a loan?,A person who calculates the interest,A person who approves the loan,A person who witnesses the loan agreement,A person who agrees to repay the loan if the borrower cannot,D,Hard,What Lenders Look For,Application Requirements
